page_id,difficulty,batch,url,current_status,next_action,notes
real_easy_016,easy,02,https://ethereum.org/en/defi/,approved_clean,finalize_row,"Finalized: broad explainer page, removed weak issue labels."
real_easy_017,easy,02,https://docs.lido.fi/guides/lido-tokens-integration-guide/,approved_with_corrections,finalize_row,"Finalized: doc page, kept only no_author."
real_easy_018,easy,02,https://www.gemini.com/cryptopedia/ethereum-vs-bitcoin-blockchain,replace_candidate,replace_url,"Fetched content looks like a generic hub instead of the intended article."
real_easy_019,easy,02,https://www.gemini.com/cryptopedia/proof-of-stake-vs-proof-of-work,replace_candidate,replace_url,"Fetched content looks like a generic hub instead of the intended article."
real_easy_020,easy,02,https://www.stakingrewards.com/assets/eth/,replace_candidate,replace_url,"Insufficient useful content extracted; replace with a cleaner page."
real_medium_001,medium,01,https://ethereum.org/staking/solo/,approved_with_corrections,finalize_row,"Reviewed already; good candidate after corrections."
real_medium_002,medium,01,https://ethereum.org/staking/pools/,approved_with_corrections,finalize_row,"Reviewed already; good candidate after corrections."
real_medium_003,medium,01,https://lido.fi/ethereum-staking,approved_with_corrections,finalize_row,"Finalized: kept weak_title_tag, weak_meta_description, and no_headers."
real_medium_004,medium,01,https://www.blocknative.com/blog/ethereum-liquid-staking-guide,approved_with_corrections,finalize_row,"Reviewed already; likely strong near-clean page."
real_medium_005,medium,01,https://ethereum.org/staking/,approved_with_corrections,finalize_row,"Reviewed already; broad page but usable."
real_medium_006,medium,01,https://ethereum.org/staking/withdrawals/,approved_clean,finalize_row,"Finalized: clean row with no issue changes needed."
real_medium_007,medium,01,https://stake.lido.fi/,approved_with_corrections,finalize_row,"Finalized: kept no_author/no_date/no_sources/missing_faq_schema."
real_medium_008,medium,01,https://docs.lido.fi/guides/lido-tokens-integration-guide/,approved_with_corrections,finalize_row,"Finalized: doc page, kept only no_author."
real_medium_009,medium,01,https://docs.lido.fi/contracts/lido/,approved_with_corrections,finalize_row,"Finalized: kept weak_meta_description and no_author."
real_medium_010,medium,01,https://ethereum.org/en/developers/docs/nodes-and-clients/,approved_clean,finalize_row,"Replacement drafts cleanly with strong structure."
real_medium_011,medium,02,https://docs.lido.fi/,approved_with_corrections,finalize_row,"Finalized: documentation page, kept only no_author."
real_medium_012,medium,02,https://docs.lido.fi/guides/lido-tokens-integration-guide/,approved_with_corrections,finalize_row,"Finalized: doc page, kept only no_author."
real_medium_013,medium,02,https://docs.lido.fi/contracts/lido/,approved_with_corrections,finalize_row,"Finalized: kept weak_meta_description and no_author."
real_medium_014,medium,02,https://ethereum.org/en/developers/docs/consensus-mechanisms/pos/,approved_clean,finalize_row,"Drafted cleanly with strong structure."
real_medium_015,medium,02,https://ethereum.org/en/developers/docs/nodes-and-clients/,approved_clean,finalize_row,"Drafted cleanly with strong structure."
real_medium_016,medium,02,https://ethereum.org/en/developers/docs/consensus-mechanisms/pow/,approved_clean,finalize_row,"Drafted cleanly with strong structure."
real_medium_017,medium,02,https://ethereum.org/en/defi/,approved_clean,finalize_row,"Finalized: broad explainer page, removed weak issue labels."
real_medium_018,medium,02,https://www.gemini.com/cryptopedia/ethereum-vs-bitcoin-blockchain,replace_candidate,replace_url,"Fetched content looks like a generic hub instead of the intended article."
real_medium_019,medium,02,https://www.gemini.com/cryptopedia/proof-of-stake-vs-proof-of-work,replace_candidate,replace_url,"Fetched content looks like a generic hub instead of the intended article."
real_medium_020,medium,02,https://www.stakingrewards.com/assets/eth/,replace_candidate,replace_url,"Insufficient useful content extracted; replace with a cleaner page."
real_hard_001,hard,01,https://www.blocknative.com/blog/ethereum-liquid-staking-guide,approved_clean,finalize_row,"Finalized: treated as a strong clean article."
real_hard_002,hard,01,https://ethereum.org/staking/,approved_with_corrections,finalize_row,"Finalized: broad staking overview, kept only no_author."
real_hard_003,hard,01,https://ethereum.org/staking/solo/,approved_with_corrections,finalize_row,"Finalized: kept missing_howto_schema, added missing_faq_schema and no_author."
real_hard_004,hard,01,https://ethereum.org/staking/pools/,approved_with_corrections,finalize_row,"Finalized: kept weak_meta_description and missing_faq_schema, added no_author."
real_hard_005,hard,01,https://ethereum.org/staking/withdrawals/,approved_clean,finalize_row,"Strong extraction and no obvious parser problems."
real_hard_006,hard,01,https://ethereum.org/en/what-is-ethereum/,approved_clean,finalize_row,"Finalized: strong explainer page, removed weak issue labels."
real_hard_007,hard,01,https://docs.lido.fi/guides/lido-tokens-integration-guide/,approved_with_corrections,finalize_row,"Finalized: doc page, kept only no_author."
real_hard_008,hard,01,https://stake.lido.fi/,approved_with_corrections,finalize_row,"Finalized: kept no_author/no_date/no_sources/missing_faq_schema."
real_hard_009,hard,01,https://ethereum.org/en/developers/docs/consensus-mechanisms/pos/,approved_clean,finalize_row,"Replacement drafts cleanly with strong structure."
real_hard_010,hard,01,https://ethereum.org/en/developers/docs/nodes-and-clients/,approved_clean,finalize_row,"Replacement drafts cleanly with strong structure."
real_hard_011,hard,02,https://docs.lido.fi/,approved_with_corrections,finalize_row,"Finalized: documentation page, kept only no_author."
real_hard_012,hard,02,https://docs.lido.fi/guides/lido-tokens-integration-guide/,approved_with_corrections,finalize_row,"Finalized: doc page, kept only no_author."
real_hard_013,hard,02,https://docs.lido.fi/contracts/lido/,approved_with_corrections,finalize_row,"Finalized: kept weak_meta_description and no_author."
real_hard_014,hard,02,https://ethereum.org/en/developers/docs/consensus-mechanisms/pos/,approved_clean,finalize_row,"Drafted cleanly with strong structure."
real_hard_015,hard,02,https://ethereum.org/en/developers/docs/nodes-and-clients/,approved_clean,finalize_row,"Drafted cleanly with strong structure."
real_hard_016,hard,02,https://ethereum.org/en/developers/docs/consensus-mechanisms/pow/,approved_clean,finalize_row,"Drafted cleanly with strong structure."
real_hard_017,hard,02,https://ethereum.org/en/defi/,approved_clean,finalize_row,"Finalized: broad explainer page, removed weak issue labels."
real_hard_018,hard,02,https://www.gemini.com/cryptopedia/ethereum-vs-bitcoin-blockchain,replace_candidate,replace_url,"Fetched content looks like a generic hub instead of the intended article."
real_hard_019,hard,02,https://www.gemini.com/cryptopedia/proof-of-stake-vs-proof-of-work,replace_candidate,replace_url,"Fetched content looks like a generic hub instead of the intended article."
real_hard_020,hard,02,https://www.stakingrewards.com/assets/eth/,replace_candidate,replace_url,"Insufficient useful content extracted; replace with a cleaner page."
